Region/Sub-Region or Country of Birth,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Panama," 1,640 "," 1,829 "," 1,867 "," 1,680 "," 1,164 "," 1,417 "," 1,815 "," 2,418 "," 1,916 "," 1,678 "," 1,806 "," 1,536 "," 1,374 "," 1,281 "," 1,234 "," 1,095 "," 1,052 "," 1,029 ", 889 
Northern America," 8,874 "," 16,163 "," 21,913 "," 19,524 "," 11,474 "," 15,726 "," 22,177 "," 18,700 "," 15,774 "," 15,417 "," 16,429 "," 13,601 "," 13,140 "," 13,296 "," 13,588 "," 12,050 "," 13,155 "," 13,360 "," 11,961 "
Bermuda, 63 , 71 , 98 , 108 , 92 , 100 , 116 , 160 , 108 , 92 , 108 , 72 , 71 , 85 , 88 , 106 , 112 , 99 , 68 
Canada," 8,782 "," 16,057 "," 21,752 "," 19,352 "," 11,350 "," 15,569 "," 21,878 "," 18,207 "," 15,495 "," 15,109 "," 16,140 "," 13,328 "," 12,800 "," 12,932 "," 13,181 "," 11,586 "," 12,673 "," 12,793 "," 11,484 "
United States, 29 , 35 , 63 , 64 , 32 , 57 , 183 , 333 , 171 , 216 , 181 , 201 , 269 , 279 , 319 , 358 , 370 , 468 , 409 
South America," 41,444 "," 55,823 "," 68,483 "," 74,151 "," 55,028 "," 72,057 "," 103,134 "," 137,985 "," 106,516 "," 98,548 "," 102,858 "," 87,177 "," 86,095 "," 79,401 "," 80,945 "," 73,715 "," 72,308 "," 79,608 "," 79,076 "
Argentina," 1,387 "," 2,317 "," 3,297 "," 3,661 "," 3,129 "," 4,805 "," 7,081 "," 7,327 "," 5,645 "," 5,353 "," 5,780 "," 4,399 "," 4,473 "," 4,359 "," 4,372 "," 3,874 "," 3,730 "," 4,091 "," 3,482 "
Bolivia," 1,444 "," 1,761 "," 1,819 "," 1,664 "," 1,376 "," 1,768 "," 2,197 "," 4,025 "," 2,590 "," 2,436 "," 2,837 "," 2,253 "," 2,173 "," 1,948 "," 2,071 "," 1,719 "," 1,626 "," 1,595 "," 1,510 "
Brazil," 3,887 "," 6,943 "," 9,448 "," 9,439 "," 6,331 "," 10,556 "," 16,662 "," 17,903 "," 14,295 "," 12,195 "," 14,701 "," 12,258 "," 11,763 "," 11,441 "," 11,033 "," 10,429 "," 11,424 "," 13,812 "," 14,989 "
Chile," 1,085 "," 1,700 "," 1,921 "," 1,839 "," 1,310 "," 1,810 "," 2,404 "," 2,774 "," 2,274 "," 2,017 "," 2,250 "," 1,950 "," 1,853 "," 1,673 "," 1,736 "," 1,581 "," 1,596 "," 1,698 "," 1,625 "
Colombia," 9,928 "," 14,427 "," 16,627 "," 18,758 "," 14,720 "," 18,846 "," 25,566 "," 43,144 "," 33,187 "," 30,213 "," 27,849 "," 22,406 "," 22,635 "," 20,931 "," 21,131 "," 18,175 "," 17,316 "," 18,610 "," 17,956 "
Ecuador," 8,882 "," 7,651 "," 9,665 "," 10,561 "," 7,066 "," 8,626 "," 11,608 "," 17,489 "," 12,248 "," 11,663 "," 12,128 "," 11,492 "," 11,103 "," 9,342 "," 10,591 "," 10,960 "," 10,187 "," 10,757 "," 10,594 "
French Guiana, 5 , 13 , 8 , 6 , 4 , D , 8 , 15 , D , D , D , D , D , D , D , D , D , D , D 
Guyana," 3,290 "," 5,719 "," 8,279 "," 9,938 "," 6,809 "," 6,351 "," 9,317 "," 9,552 "," 5,726 "," 6,823 "," 6,670 "," 6,749 "," 6,599 "," 5,683 "," 5,897 "," 6,267 "," 5,543 "," 5,771 "," 5,468 "
Paraguay, 216 , 338 , 401 , 356 , 207 , 328 , 516 , 719 , 545 , 481 , 530 , 467 , 500 , 467 , 448 , 391 , 382 , 434 , 391 
Peru," 8,414 "," 9,579 "," 11,062 "," 11,918 "," 9,409 "," 11,794 "," 15,676 "," 21,718 "," 17,699 "," 15,184 "," 16,957 "," 14,247 "," 14,064 "," 12,609 "," 12,564 "," 10,606 "," 10,148 "," 10,940 "," 10,115 "
Suriname, 141 , 256 , 245 , 247 , 180 , 166 , 300 , 314 , 197 , 218 , 227 , 216 , 196 , 187 , 178 , 158 , 134 , 156 , 136 
Uruguay, 267 , 426 , 541 , 536 , 469 , 787 ," 1,154 "," 1,664 "," 1,418 "," 1,451 "," 1,775 "," 1,331 "," 1,553 "," 1,374 "," 1,352 "," 1,128 "," 1,078 ", 972 ," 1,001 "
Venezuela," 2,498 "," 4,693 "," 5,170 "," 5,228 "," 4,018 "," 6,220 "," 10,645 "," 11,341 "," 10,692 "," 10,514 "," 11,154 "," 9,409 "," 9,183 "," 9,387 "," 9,572 "," 8,427 "," 9,144 "," 10,772 "," 11,809 "
Other Americas,,,,,,,,,, 3 , 6 , 5 , 2 , 3 , 7 , 6 , 2 , 7 , 9 
Asia," 203,518 "," 270,956 "," 357,160 "," 349,723 "," 250,448 "," 342,930 "," 411,722 "," 440,333 "," 397,834 "," 399,027 "," 413,312 "," 422,063 "," 451,593 "," 429,599 "," 400,548 "," 430,508 "," 419,297 "," 462,299 "," 424,743 "
Eastern Asia," 61,101 "," 83,097 "," 107,239 "," 106,323 "," 69,809 "," 96,334 "," 118,620 "," 131,986 "," 119,033 "," 127,068 "," 109,532 "," 109,290 "," 125,401 "," 116,986 "," 109,383 "," 109,930 "," 104,862 "," 117,316 "," 103,469 "
China (excluding Hong Kong)," 32,159 "," 45,585 "," 56,267 "," 61,082 "," 40,568 "," 55,494 "," 69,933 "," 87,307 "," 76,655 "," 80,271 "," 64,238 "," 70,863 "," 87,016 "," 81,784 "," 71,798 "," 76,089 "," 74,558 "," 81,772 "," 71,565 "
Hong Kong," 4,910 "," 5,407 "," 8,300 "," 6,075 "," 3,574 "," 3,951 "," 3,705 "," 3,256 "," 3,527 "," 3,373 "," 2,651 "," 2,432 "," 2,306 "," 2,104 "," 2,226 "," 2,278 "," 2,085 "," 2,510 "," 2,415 "
Japan," 4,202 "," 7,049 "," 9,578 "," 8,248 "," 5,971 "," 7,697 "," 8,768 "," 8,265 "," 6,748 "," 6,821 "," 7,690 "," 6,264 "," 6,161 "," 6,061 "," 5,925 "," 5,545 "," 5,395 "," 5,207 "," 4,635 "
Macau, 294 , 270 , 340 , 284 , 244 , 192 , 133 , 189 , 178 , 205 , 158 , 143 , 130 , 120 , 106 , 105 , 99 , 109 , 109 
Mongolia, 41 , 46 , 102 , 135 , 153 , 229 , 323 , 497 , 530 , 659 , 831 , 594 , 774 , 691 , 729 , 651 , 644 , 750 , 661 
North Korea,,,,,,,,, -   , -   , 67 , 35 , 36 , 49 , 48 , 142 , 55 , 47 , 32 
Taiwan," 6,700 "," 9,019 "," 12,120 "," 9,775 "," 6,917 "," 9,005 "," 9,196 "," 8,086 "," 8,990 "," 9,073 "," 8,038 "," 6,732 "," 6,154 "," 5,331 "," 5,385 "," 4,697 "," 4,888 "," 5,120 "," 4,858 "
South Korea," 12,795 "," 15,721 "," 20,532 "," 20,724 "," 12,382 "," 19,766 "," 26,562 "," 24,386 "," 22,405 "," 26,666 "," 25,859 "," 22,227 "," 22,824 "," 20,846 "," 23,166 "," 20,423 "," 17,138 "," 21,801 "," 19,194 "
